# https://eprint.iacr.org/2019/1318.pdf
0x0020, 0x0010, 0x1020, 0x2800
0x0010, 0x1020, 0x2800, 0x0000
0x1020, 0x2800, 0x0000, 0x4000
0x2800, 0x0000, 0x4000, 0x2040
0x0000, 0x4000, 0x2040, 0x5000
0x4000, 0x2040, 0x5000, 0x0080
0x2040, 0x5000, 0x0080, 0x0040
0x5000, 0x0080, 0x0040, 0x4080
0x0080, 0x0040, 0x4080, 0xA000
0x0040, 0x4080, 0xA000, 0x0000
0x4080, 0xA000, 0x0000, 0x0001
0xA000, 0x0000, 0x0001, 0x8100
0x0000, 0x0001, 0x8100, 0x4001
0x0001, 0x8100, 0x4001, 0x0200
0x8100, 0x4001, 0x0200, 0x0100
0x4001, 0x0200, 0x0100, 0x0201
0x0200, 0x0100, 0x0201, 0x8003
0x0100, 0x0201, 0x8003, 0x0000
0x0201, 0x8003, 0x0000, 0x0004
0x8003, 0x0000, 0x0004, 0x0402
0x0000, 0x0004, 0x0402, 0x0007
0x0004, 0x0402, 0x0007, 0x0800
0x0402, 0x0007, 0x0800, 0x0400
0x0007, 0x0800, 0x0400, 0x0004
0x0800, 0x0400, 0x0004, 0x0002
0x0400, 0x0004, 0x0002, 0x0000
0x0004, 0x0002, 0x0000, 0x0000
0x0002, 0x0000, 0x0000, 0x0000
0x0000, 0x0000, 0x0000, 0x0004
0x0000, 0x0000, 0x0004, 0x0000
0x0000, 0x0004, 0x0000, 0x0000
0x0004, 0x0000, 0x0000, 0x0800
0x0000, 0x0000, 0x0800, 0x0008
0x0000, 0x0800, 0x0008, 0x0000
0x0800, 0x0008, 0x0000, 0x0010
0x0008, 0x0000, 0x0010, 0x1008
0x0000, 0x0010, 0x1008, 0x0010
0x0010, 0x1008, 0x0010, 0x2000
0x1008, 0x0010, 0x2000, 0x1000
0x0010, 0x2000, 0x1000, 0x2810
