EDP        block    round    weight   idx      key      time(s)   
1.2852     128      10       110      0        2        204.432   
1.7500     128      10       110      0        3        76.207    
1.2852     128      10       110      0        4        19.280    
1.0664     128      10       49       0        2        48.887    
1.0664     128      10       49       0        3        44.701    
1.0664     128      10       49       0        4        22.994    
1.2188     128      14       110      0        2        282.211   
2.0898     128      14       110      0        3        269.484   
1.2188     128      14       110      0        4        298.989   
1.3125     128      15       115      0        2        337.654   
1.1035     128      15       115      0        3        659.532   
1.3125     128      15       115      0        4        274.123   
1.2422     128      19       119      0        2        829.530   
2.0703     128      19       119      0        3        690.855   
1.2422     128      19       119      0        4        366.943   
1.2422     128      19       120      0        2        692.818   
2.0703     128      19       120      0        3        756.083   
1.2422     128      19       120      0        4        357.896   
1.2422     128      19       120      1        2        837.584   
2.0703     128      19       120      1        3        769.594   
1.2422     128      19       120      1        4        378.423   
1.2422     128      19       120      2        2        707.375   
2.0703     128      19       120      2        3        694.972   
1.2422     128      19       120      2        4        333.864   
1.2422     128      19       120      3        2        465.541   
2.0703     128      19       120      3        3        918.746   
1.2422     128      19       120      3        4        367.829   
1.2461     128      19       120      4        2        665.739   
2.0781     128      19       120      4        3        747.865   
1.2461     128      19       120      4        4        332.230   
1.0703     128      19       120      5        2        665.173   
1.8047     128      19       120      5        3        734.084   
1.0703     128      19       120      5        4        349.187   
1.2422     128      20       128      0        2        624.953   
2.0703     128      20       128      0        3        756.409   
1.2422     128      20       128      0        4        595.220   
1.0664     128      9        39       0        2        42.763    
1.0664     128      9        39       0        3        16.120    
1.0664     128      9        39       0        4        34.518    
1.0000     32       10       35       0        4        1.345     
0.0000     32       10       41       0        4        0.733     
1.0000     32       6        13       0        4        0.111     
1.0000     32       7        18       0        4        0.338     
1.0000     32       8        24       0        4        0.636     
1.0000     32       8        25       0        4        0.658     
1.0000     32       8        27       0        4        0.689     
1.0000     32       8        27       1        4        0.755     
1.0000     32       9        30       0        4        0.972     
1.0000     32       9        30       1        4        1.598     
1.0000     32       9        30       10       4        1.327     
1.0000     32       9        30       11       4        1.716     
1.0000     32       9        30       12       4        1.639     
1.0000     32       9        30       13       4        1.283     
1.0000     32       9        30       14       4        0.909     
1.0000     32       9        30       2        4        1.353     
1.0000     32       9        30       3        4        1.480     
1.0000     32       9        30       4        4        1.370     
1.0000     32       9        30       5        4        1.257     
1.0000     32       9        30       6        4        1.927     
1.0000     32       9        30       7        4        0.504     
1.0000     32       9        30       8        4        1.013     
1.0000     32       9        30       9        4        1.500     
1.0000     32       9        31       0        4        1.900     
1.0000     32       9        31       1        4        1.309     
1.0000     32       9        33       0        4        0.997     
1.0000     32       9        33       1        4        0.801     
1.0000     48       10       45       0        3        12.200    
1.0000     48       10       45       0        4        4.257     
