EDP        block    round    weight   idx      key      time(s)   
1.8203     128      10       110      0        2        318.889   
1.2852     128      10       110      0        3        59.210    
1.7617     128      10       110      0        4        61.363    
1.0664     128      10       49       0        2        44.336    
1.0664     128      10       49       0        3        110.512   
1.0664     128      10       49       0        4        35.931    
1.2188     128      14       110      0        2        257.406   
1.2188     128      14       110      0        3        146.254   
1.2188     128      14       110      0        4        204.940   
1.3125     128      15       115      0        2        243.393   
1.3125     128      15       115      0        3        214.271   
1.3125     128      15       115      0        4        147.799   
1.1484     128      19       119      0        2        509.637   
1.2422     128      19       119      0        3        323.967   
1.1484     128      19       119      0        4        295.747   
0.3750     128      19       120      0        2        793.192   
1.2422     128      19       120      0        3        351.140   
0.3750     128      19       120      0        4        483.324   
1.1484     128      19       120      1        2        519.226   
1.2422     128      19       120      1        3        288.157   
1.1484     128      19       120      1        4        285.443   
0.3750     128      19       120      2        2        661.978   
1.2422     128      19       120      2        3        222.980   
0.3750     128      19       120      2        4        404.196   
1.1484     128      19       120      3        2        475.690   
1.2422     128      19       120      3        3        291.458   
1.1484     128      19       120      3        4        261.426   
0.3711     128      19       120      4        2        653.713   
1.2461     128      19       120      4        3        281.640   
0.3711     128      19       120      4        4        506.370   
0.3203     128      19       120      5        2        628.323   
1.0703     128      19       120      5        3        259.717   
0.3203     128      19       120      5        4        540.590   
0.3750     128      20       128      0        2        741.240   
1.2422     128      20       128      0        3        335.535   
0.3750     128      20       128      0        4        594.882   
1.0664     128      9        39       0        2        20.527    
1.0664     128      9        39       0        3        16.240    
1.0664     128      9        39       0        4        22.165    
0.7500     32       10       35       0        4        0.976     
0.0000     32       10       41       0        4        0.747     
1.0000     32       6        13       0        4        0.011     
1.0000     32       7        18       0        4        0.019     
1.0000     32       8        24       0        4        0.148     
1.0000     32       8        25       0        4        0.360     
1.0000     32       8        27       0        4        0.141     
1.0000     32       8        27       1        4        0.170     
1.0000     32       9        30       0        4        0.496     
1.0000     32       9        30       1        4        0.583     
1.0000     32       9        30       10       4        0.775     
1.0000     32       9        30       11       4        0.799     
1.0000     32       9        30       12       4        0.939     
1.0000     32       9        30       13       4        0.774     
1.0000     32       9        30       14       4        0.823     
1.0000     32       9        30       2        4        1.983     
1.0000     32       9        30       3        4        0.621     
1.0000     32       9        30       4        4        0.868     
1.0000     32       9        30       5        4        0.803     
1.0000     32       9        30       6        4        0.677     
1.0000     32       9        30       7        4        0.560     
1.0000     32       9        30       8        4        0.808     
1.0000     32       9        30       9        4        0.816     
1.0000     32       9        31       0        4        0.816     
1.0000     32       9        31       1        4        0.679     
1.0000     32       9        33       0        4        0.564     
1.0000     32       9        33       1        4        0.617     
1.0000     48       10       45       0        3        10.070    
1.0000     48       10       45       0        4        2.448     
0.8750     48       11       45       0        3        7.510     
0.8750     48       11       45       0        4        3.437     
0.8750     48       11       45       1        3        4.473     
0.8750     48       11       45       1        4        3.739     
0.8750     48       11       45       2        3        7.966     
0.8750     48       11       45       2        4        3.327     
0.8750     48       11       45       3        3        4.374     
0.8750     48       11       45       3        4        3.163     
0.8750     48       11       45       4        3        4.352     
0.8750     48       11       45       4        4        6.643     
0.8750     48       11       46       0        3        10.742    
0.8750     48       11       46       0        4        9.788     
0.8750     48       11       47       0        3        6.455     
0.8750     48       11       47       0        4        9.000     
1.0703     48       11       47       1        3        7.405     
1.0703     48       11       47       1        4        6.421     
1.0000     48       8        38       0        3        4.717     
1.0000     48       8        38       0        4        2.179     
1.0000     48       9        35       0        3        4.447     
1.0000     48       9        35       0        4        2.152     
1.2148     48       9        47       0        3        2.494     
1.2109     48       9        47       0        4        1.398     
1.2383     64       10       52       0        3        6.812     
1.2383     64       10       52       0        4        4.812     
1.0000     64       13       55       0        3        15.921    
1.0000     64       13       55       0        4        9.963     
1.0664     64       13       58       0        3        26.821    
1.1367     64       13       58       0        4        19.765    
1.0664     64       13       59       0        3        24.734    
1.0664     64       13       59       0        4        15.890    
1.0664     64       14       60       0        3        23.702    
1.3320     64       14       60       0        4        19.501    
1.0000     64       15       62       0        3        57.573    
1.0000     64       15       62       0        4        74.782    
1.0664     64       15       62       1        3        24.495    
1.0664     64       15       62       1        4        32.719    
1.0664     64       15       62       2        3        52.556    
1.0664     64       15       62       2        4        47.263    
1.0664     64       15       62       3        3        34.639    
1.0664     64       15       62       3        4        21.422    
1.0664     64       15       63       0        3        143.024   
1.0664     64       15       63       0        4        26.228    
1.0664     64       15       63       1        3        126.021   
1.0664     64       15       63       1        4        60.156    
1.0664     64       15       63       2        3        31.880    
1.0664     64       15       63       2        4        25.638    
1.0664     64       15       63       3        3        35.292    
1.0664     64       15       63       3        4        24.714    
1.0664     64       15       63       4        3        92.684    
1.0664     64       15       63       4        4        28.584    
1.0664     64       15       63       5        3        63.138    
1.0664     64       15       63       5        4        31.990    
1.0664     64       15       63       6        3        37.080    
1.0664     64       15       63       6        4        26.430    
1.0664     64       15       63       7        3        37.369    
1.0664     64       15       63       7        4        50.638    
1.0664     64       15       63       8        3        41.824    
1.0664     64       15       63       8        4        20.308    
1.0664     96       10       49       0        2        25.085    
1.0664     96       10       49       0        3        84.005    
1.2148     96       13       84       0        2        82.787    
1.1367     96       13       84       0        3        82.922    
1.1367     96       13       84       1        2        89.973    
1.1367     96       13       84       1        3        129.900   
0.8008     96       16       87       0        2        97.668    
0.8008     96       16       87       0        3        111.346   
1.0664     96       16       87       1        2        93.582    
1.0664     96       16       87       1        3        61.566    
1.1367     96       17       96       0        2        212.234   
1.1367     96       17       96       0        3        109.582   
1.2422     96       9        74       0        2        15.277    
1.0820     96       9        74       0        3        4.703     
