# https://eprint.iacr.org/2016/209.pdf
0x240004000009, 0x010420040000
0x082020000000, 0x000120200000
0x000900000000, 0x000001000000
0x000008000000, 0x000000000000
0x000000080000, 0x000000080000
0x000000080800, 0x000000480800
0x000000480008, 0x000002084008
0x0800FE080808, 0x0800EE4A0848
0x000772400040, 0x400000104200
0x000000820200, 0x000000001202
0x000000009000, 0x000000000010
0x000000000080, 0x000000000000
0x800000000000, 0x800000000000
0x808000000000, 0x808000000004
0x800080000004, 0x840080000020
0x808080800020, 0xA08480800124
0x800400008124, 0x842004008801
0xA0A000008880, 0x81A02004C88C
