EDP        block    round    weight   idx      key      time(s)   
1.2500     128      10       110      0        2        30.630    
1.2500     128      10       110      0        3        27.509    
1.2500     128      10       110      0        4        24.791    
1.0625     128      10       49       0        2        28.938    
1.0625     128      10       49       0        3        16.997    
1.0625     128      10       49       0        4        15.573    
1.1875     128      14       110      0        2        55.297    
1.1875     128      14       110      0        3        46.548    
1.1875     128      14       110      0        4        46.059    
1.2500     128      15       115      0        2        73.391    
1.2500     128      15       115      0        3        68.544    
1.2500     128      15       115      0        4        50.239    
1.1875     128      19       119      0        2        240.825   
1.1875     128      19       119      0        3        109.000   
1.1875     128      19       119      0        4        280.509   
1.1875     128      19       120      0        2        151.357   
1.1875     128      19       120      0        3        98.002    
1.1875     128      19       120      0        4        122.087   
1.1875     128      19       120      1        2        158.417   
1.1875     128      19       120      1        3        128.597   
1.1875     128      19       120      1        4        145.691   
1.1875     128      19       120      2        2        249.451   
1.1875     128      19       120      2        3        117.460   
1.1875     128      19       120      2        4        127.328   
1.1875     128      19       120      3        2        130.558   
1.1875     128      19       120      3        3        259.377   
1.1875     128      19       120      3        4        350.343   
1.1875     128      19       120      4        2        340.833   
1.1875     128      19       120      4        3        130.557   
1.1875     128      19       120      4        4        288.042   
1.0625     128      19       120      5        2        165.155   
1.0625     128      19       120      5        3        127.458   
1.0625     128      19       120      5        4        96.482    
1.1875     128      20       128      0        2        132.340   
1.1875     128      20       128      0        3        85.474    
1.1875     128      20       128      0        4        166.585   
1.0625     128      9        39       0        2        12.608    
1.0625     128      9        39       0        3        18.828    
1.0625     128      9        39       0        4        13.040    
1.0000     32       10       35       0        4        1.019     
0.0000     32       10       41       0        4        0.807     
1.0000     32       6        13       0        4        0.034     
1.0000     32       7        18       0        4        0.140     
1.0000     32       8        24       0        4        0.489     
1.0000     32       8        25       0        4        0.235     
1.0000     32       8        27       0        4        0.484     
1.0000     32       8        27       1        4        0.349     
1.0000     32       9        30       0        4        0.332     
1.0000     32       9        30       1        4        0.322     
1.0000     32       9        30       10       4        0.506     
1.0000     32       9        30       11       4        0.293     
1.0000     32       9        30       12       4        1.350     
1.0000     32       9        30       13       4        1.180     
1.0000     32       9        30       14       4        0.679     
1.0000     32       9        30       2        4        0.997     
1.0000     32       9        30       3        4        0.921     
1.0000     32       9        30       4        4        0.609     
1.0000     32       9        30       5        4        1.220     
1.0000     32       9        30       6        4        1.221     
1.0000     32       9        30       7        4        0.516     
1.0000     32       9        30       8        4        0.832     
1.0000     32       9        30       9        4        1.043     
1.0000     32       9        31       0        4        0.997     
1.0000     32       9        31       1        4        0.697     
1.0000     32       9        33       0        4        1.063     
1.0000     32       9        33       1        4        0.322     
1.0000     48       10       45       0        3        4.132     
1.0000     48       10       45       0        4        3.117     
0.8750     48       11       45       0        3        6.128     
0.8750     48       11       45       0        4        3.370     
0.8750     48       11       45       1        3        3.835     
0.8750     48       11       45       1        4        4.789     
0.8750     48       11       45       2        3        6.137     
0.8750     48       11       45       2        4        3.349     
0.8750     48       11       45       3        3        5.778     
0.8750     48       11       45       3        4        4.448     
0.8750     48       11       45       4        3        3.679     
0.8750     48       11       45       4        4        3.857     
0.8750     48       11       46       0        3        5.309     
0.8750     48       11       46       0        4        4.578     
0.8750     48       11       47       0        3        4.896     
0.8750     48       11       47       0        4        4.029     
1.0625     48       11       47       1        3        3.716     
1.0625     48       11       47       1        4        2.869     
1.0000     48       8        38       0        3        2.555     
1.0000     48       8        38       0        4        1.996     
1.0000     48       9        35       0        3        2.092     
1.0000     48       9        35       0        4        2.291     
1.1250     48       9        47       0        3        2.168     
1.1250     48       9        47       0        4        1.797     
1.1875     64       10       52       0        3        5.448     
1.1875     64       10       52       0        4        4.388     
1.0000     64       13       55       0        3        10.409    
1.0000     64       13       55       0        4        8.150     
1.0625     64       13       58       0        3        11.350    
1.0625     64       13       58       0        4        9.515     
1.0625     64       13       59       0        3        8.897     
1.0625     64       13       59       0        4        11.848    
1.0625     64       14       60       0        3        12.131    
1.0625     64       14       60       0        4        9.034     
1.0000     64       15       62       0        3        15.446    
1.0000     64       15       62       0        4        14.607    
1.0625     64       15       62       1        3        12.351    
1.0625     64       15       62       1        4        10.887    
1.0625     64       15       62       2        3        17.930    
1.0625     64       15       62       2        4        10.716    
1.0625     64       15       62       3        3        14.977    
1.0625     64       15       62       3        4        12.804    
1.0625     64       15       63       0        3        19.665    
1.0625     64       15       63       0        4        13.625    
1.0625     64       15       63       1        3        15.628    
1.0625     64       15       63       1        4        12.674    
